id,pos_comm,neg_comm,neutral_comm,total_comments
Koxzz7LDmEE,147,67,186,400
9yqdwbJZtSc,58,6,36,100
lwOQbMcXtfU,45,38,117,200
7Lyo5dCig-U,68,30,102,200
k9bYO7uSnrg,8,8,8,24
7YAAyUFL1GQ,297,73,330,700
cWfTBkTJOH8,86,8,104,198
fcubmjoGH7I,261,47,192,500
eKjiJYkvKwQ,123,26,151,300
JsTptu56GM8,112,38,50,200
giIP0XdT7SA,97,40,63,200
ioFUoNlWR1o,33,26,70,129
5hphhsrctwY,73,35,92,200
3E_fT0aTsjI,226,85,189,500
vgDiV94Hz1I,144,27,229,400
a9Zi-RhcOGs,60,8,32,100
FpZ1sIjQrf4,219,31,250,500
Mq9dxmh6JiE,92,36,72,200
wBjAmThxDpA,2,0,0,2
ktmcO3lVuPc,32,53,21,106
UpONjs5kLPc,0,4,40,44
QB5JOnDYeHY,186,64,250,500
Z4QcwsEbKyo,219,157,124,500
OZ5kXgYW5cE,82,28,90,200
9dobJDxPEzM,189,38,173,400
_MEFyG-IE_I,213,101,86,400
aw28GKtWxBw,181,84,235,500
a9ITIaKzG3A,80,34,86,200
FNh2ZsQkNus,252,62,186,500
bAMinWdgUCg,200,14,86,300
iXexmZm3_j8,83,24,93,200
p7sooI96zPI,0,0,2,2
eLdqkQWUVFI,56,42,202,300
Lf3ER5Ope_s,74,34,90,198
CzJPjtyEZjE,51,4,32,87
o97_jDomyqc,247,46,207,500
kxqeW4v350M,46,18,36,100
s7eVr-OUYkQ,26,0,18,44
PHXkhUJWTXM,63,59,36,158
J_e77K4n6Ts,60,25,115,200
ouJwpthMfkY,177,40,83,300
Cz3Coxi9D3E,129,18,101,248
cNgT8qEQJ3w,203,107,335,645
EHC6sYfF4cg,195,80,225,500
Y2GVVC_cD_E,242,65,293,600
t_LQ0f2GU88,80,19,101,200
4cfL9nTNugM,280,62,158,500
YrTKLZi6rqk,232,36,132,400
J0sg_Au8zX8,54,28,34,116
JvkLPE8efME,295,29,176,500
MMEgnbIVWXc,45,8,26,79
5eSSL8hRU_E,72,9,33,114
lokFoo_QD8c,88,11,101,200
BalEqNEEv2M,38,31,31,100
MHMdv2D7ndc,265,65,170,500
08RHSZvixec,78,48,74,200
rBKYvAdXT-k,34,2,64,100
Wv3RpLvPasE,40,8,41,89
JNzCrIcAnck,228,50,222,500
oSRXEHsORZo,206,50,244,500
3ImE5jhnOt8,232,65,203,500
4dp31MWMjeM,49,41,51,141
nIZb34JnFEw,160,45,192,397
wGQtrwey-TI,94,22,84,200
83ZrTybo2t4,205,74,121,400
4X6a3G_0HjY,243,280,277,800
hwNIzQLtHnU,163,32,105,300
ZaB6kENkGVg,196,44,60,300
LTsSGSi9mqo,162,21,217,400
LHR2gzqUp5M,100,46,154,300
L6QAx5mqFKU,103,35,62,200
o7H7xdjGnCc,61,17,22,100
JPTB93NS_8M,210,13,177,400
0PKthlZtLDo,36,33,31,100
nvAhI3ZjnjU,227,58,215,500
jXj6c7bmxII,35,16,49,100
sjlHnJvXdQs,312,125,363,800
JJc1Tqcu-8E,59,12,29,100
2caEL5ATPX4,51,9,40,100
zqE-ultsWt0,182,64,154,400
pxVO5K8jmdA,133,26,141,300
SF-psoWdSpo,187,41,172,400
00wQYmvfhn4,133,70,97,300
HpHp1Xp5oDo,121,26,53,200
tY0RWL9k1T8,18,8,12,38
Hg6L_7qLIEQ,142,78,180,400
nivfxoep6Rs,312,84,204,600
eJB1gcydsbU,34,14,52,100
DyLE5nI6bXw,14,10,9,33
w7h--c54_O8,87,20,193,300
0d6eJcWYqBc,78,7,15,100
5qkgFES0r-U,239,58,103,400
ftrFGwlYO7w,272,41,187,500
ob4tFhgAecw,1,0,3,4
h4JP6su_mio,62,17,121,200
_oO0pd8VJjY,43,13,44,100
QH0fGSqow3c,16,4,10,30
zgLtEob6X-Q,231,73,396,700
kjNU-dbG3ek,127,74,199,400
LyEY0sNQIGQ,214,42,144,400
U2CqZNd6rgM,44,2,54,100
cvk18vx-nrY,36,25,39,100
nd_EYo96lmo,247,70,283,600
2m65xSqUWaI,109,39,50,198
xMmyeKq4w8E,3,3,3,9
BY3SLVNBkeo,256,103,141,500
Z_GR_l5QtdM,190,53,148,391
krNNMFpA1wY,255,60,185,500
7uOvL5eLpeE,238,8,153,399
_ANP3HR1jsM,185,70,243,498
oD7nZouNyDA,152,17,31,200
TzyraAp3jaY,105,22,123,250
ZymSrDfLhW8,204,35,161,400
FgSSk7xLW9w,106,43,151,300
2WIzsHMcSp4,150,43,307,500
Alp_a88C8dY,75,51,74,200
ml8Dj5OSR-M,242,64,194,500
Y7tLoqNjkks,0,0,22,22
hBaiNeNZGJU,270,22,108,400
6HXaooyXjds,265,23,65,353
scIizw2asro,181,46,173,400
7Z14Rc1vR7U,0,2,1,3
Vjc459T6wX8,122,22,156,300
fQxLlq7lxVM,123,4,73,200
4Yue-q9Jdbk,228,53,219,500
qy-UZ5B38-Y,43,12,45,100
WYoWaouvXXA,97,13,90,200
uAipi4V5g34,23,6,12,41
QQP6c_xLetk,132,48,220,400
LRuLYXsl_A4,9,5,8,22
ykvX-E1nuag,102,33,65,200
2Hz4sDjXPQY,118,36,133,287
cvaVRlWltD4,44,15,141,200
HFXwHcFyU_M,0,1,2,3
SHobkpQ9GOM,228,53,119,400
xIhTtzJ-mj4,53,14,33,100
a6V-fKcW5YI,102,145,253,500
o9n3bR8VMW8,159,46,195,400
4gKhm09PKPQ,165,72,163,400
f8Ej3RVz-Bk,33,29,38,100
vsEhQOREmrE,150,36,114,300
VFODNI4DBDI,119,176,205,500
5pvkw5KkQuw,38,6,256,300
XovZ04gmQgE,54,8,38,100
1k_whpRADOE,198,69,228,495
IqLi6Pn_rVo,188,30,82,300
62cWuFjzOgs,38,22,52,112
bvuQ0ZusV8Q,148,52,200,400
mC1qPDqV6hM,181,86,231,498
CayHgjP1YNQ,106,13,81,200
ljXSjIph5ZM,207,49,144,400
CDfhFfKSohc,135,101,261,497
H8t5M9_Tvzk,191,27,182,400
KHshdXDxR3c,134,39,127,300
2Lq5pZrbpHc,163,83,154,400
1QWLyi03twg,259,167,235,661
c0FjpqLfGN8,115,64,121,300
F4ELqraXx-U,278,84,338,700
SLoQoYi3P5U,174,130,196,500
4Rg-YN7XFcM,59,0,23,82
pkWafXW55eA,65,32,40,137
3X3xtRNb20s,132,48,220,400
J_OyB0k-IVg,109,128,159,396
NJ2asQtT014,166,221,212,599
kcTdfHXdRXo,194,57,249,500
k1gVVnv_om4,50,21,90,161
YhrOkyCju9k,6,3,53,62
2eAuJIGlp9I,160,125,115,400
I0Se3ce433Q,188,132,280,600
5mgGrx8uaRQ,165,105,230,500
XBGCYqRInM8,90,31,79,200
56kiI-JKSdY,159,66,75,300
MDe4hPh7dDU,245,92,163,500
0H3MirHyX2w,104,57,139,300
9HIkG6vMk6E,270,45,185,500
lfPvOEN5vaA,209,152,239,600
-Jdc7FXupWQ,239,21,140,400
mJSViC_Sx20,206,67,227,500
UkMZJrbCRdQ,215,119,166,500
MXtDj0eGhtw,62,21,317,400
9e6WeQeBjOI,6,0,4,10
3d9i_0Ty7Cg,158,54,188,400
T2W7UocH0Hs,92,30,78,200
yJZh9NWdXrE,188,38,174,400
KCiahBMis1E,69,26,70,165
ZBo1S6YZXa0,262,47,91,400
De9hDyIN6JY,21,2,17,40
GjJC5e4VpDY,9,5,9,23
hMfIIxf8ADo,236,36,128,400
735_W3zsIw4,139,61,200,400
NTe6-26-fHg,51,8,41,100
fmIGnd98DX4,209,67,224,500
JtZo62mPEKM,188,48,262,498
cHbkEESIl7g,101,28,71,200
zrOHeEA14kQ,66,40,94,200
nJPCUTDN0ec,49,8,43,100
G_wmoWfZQAM,331,31,138,500
8QgMh02JvS8,75,36,89,200
px7dYqZPk6I,152,29,219,400
0ptNpGfMRCg,212,93,294,599
r3wQ8ISV4wc,55,10,29,94
Itd_DFAw8OE,65,21,114,200
AR4UgRJOUQY,29,21,50,100
S_9OSktlm6s,156,67,277,500
iptgKv3iApI,73,39,83,195
xHvVhhFvLtY,242,84,374,700
qR1EM-RIZNk,208,118,174,500
mWFaxs-KvMY,153,19,128,300
PInMw_UmlHQ,77,42,181,300
gDFZS0BVsBY,247,94,259,600
apskNjHtGh8,7,4,21,32
Ez95rPffd8k,61,102,37,200
brfJuyTADuQ,60,24,116,200
GSmUd7p3r34,101,14,58,173
V-_HM2bRa0E,133,11,56,200
X7WFMUq5ECE,136,109,155,400
8fH_PAi6Yf4,158,4,38,200
H1YGg8nYkv0,205,165,229,599
qtfMzdqifF0,176,88,236,500
f5F2whaRzqw,10,4,0,14
xig77hiUHig,160,39,201,400
y_v-3_sPsRM,70,25,105,200
GRDoasFyesU,223,77,100,400
yNaLblrdflU,196,108,196,500
LtJ60u7SUSw,65,28,91,184
15ugV2ASveg,151,22,227,400
wOskfnnbkdw,159,45,192,396
A778dMvbrJg,86,38,76,200
tl6w1-IlyDs,171,28,101,300
R6ja9qNmOaM,187,104,109,400
ZgCTlbQvcT8,43,17,40,100
Bo-qp-Zu0OY,12,1,9,22
MFoODeZfSD0,118,74,208,400
uV002CSNDac,141,41,218,400
5e0LMJRJFaY,153,53,94,300
s51nDk3bEOg,1,0,1,2
HUUsEgAe8x4,150,46,204,400
OZAfse9Pb4c,159,93,348,600
wOjjdttsHy4,22,4,15,41
rrZk9sSgRyQ,162,42,95,299
c3pFWJCQy5E,69,13,18,100
Oz88_p125uM,0,0,2,2
tt2k8PGm-TI,50,3,47,100
T_t-ByJoDgM,215,7,78,300
U69QBI6MK_A,1,0,1,2
lw-Xu7ZLD3w,105,61,134,300
FwT9nx8GHxE,118,128,354,600
439iY0844xI,208,54,138,400
j3MvNvV27hw,300,20,80,400
YMLLK844QII,127,20,253,400
lJj66BCiZWQ,3,0,0,3
VGBZ2YfVx1Y,193,65,241,499
jLa9wZHiqxg,1,0,0,1
jzaRIWMxz0Y,64,8,24,96
ugWImY8VMzI,269,39,123,431
MuhbA_bB418,156,89,353,598
_yt7xexSbfI,4,2,2,8
ip6YrQt-dp8,5,17,4,26
GyxgtAwn34A,235,63,202,500
ZyHipL45pwM,60,9,31,100
AOQZNHueNQQ,134,9,252,395
tf57O2T-TBM,20,6,12,38
a2B9pA8aGUc,5,2,9,16
veqMs7SQteY,40,20,40,100
pCSgWJzEvrM,55,21,24,100
a7Sf_H2cFdM,137,13,149,299
4KAfi8-2tVg,54,46,149,249
R-4a_mQQTpc,220,54,226,500
dRVWX8L-kHg,34,4,26,64
ScmJvmzDcG0,38,28,34,100
0qfgZJNCCJQ,172,23,205,400
12vfxYs6F7E,188,33,279,500
rCo4gIZu0DY,236,49,215,500
H_A0Z4S30Ds,46,9,45,100
fWfKfX9hXqc,93,15,292,400
wB5Hek7Z2b8,92,39,69,200
mkrTKyhONJ4,219,82,199,500
A-fofQ9VpPQ,44,18,37,99
MdBu21i9aEE,364,91,245,700
8bSCIUAeLis,69,53,203,325
LnxSTShwDdQ,105,86,109,300
DOz4H0jlthc,123,70,87,280
tSRg5cFIxI0,156,6,38,200
Rg_Msa0CAqk,174,98,228,500
7nh2Ra-5kY8,109,22,67,198
uKQ8iy3U1lw,165,100,135,400
00P112HXoK0,28,40,32,100
GlWaXiJVwYI,103,28,69,200
UdHopftQD3A,226,17,157,400
_SzWAfsdZXY,174,67,124,365
vQ3XgMKAgxc,117,38,145,300
G9ADVeNpypk,50,16,102,168
IFKkcaj0kAE,99,50,51,200
6O7x7-srbHI,213,32,155,400
eoArC99zm1M,58,27,115,200
VSrEIdhrXB4,103,58,139,300
KUCHBBCj77I,233,45,122,400
k1eYiq_V5cM,221,45,134,400
-SiRV2kWIxg,14,0,23,37
7pOXunRYJIw,175,41,84,300
GSxeF68FRsk,46,20,34,100
mSYEzJ7LM54,98,17,285,400
CYoRmfI0LUc,326,160,314,800
oSV39tYy3Xg,1,2,0,3
GO6qs83CHpc,144,53,203,400
xKXxJcf6_IE,88,51,61,200
96LawfHPh6s,122,27,51,200
W-97_yKHQHg,18,13,26,57
fCh5TVGaTSg,42,42,48,132
cyN6GMY78D4,187,41,172,400
KMZ2vfIoA9k,77,38,85,200
ofz2cHLkiRI,223,119,252,594
c3JbJmXInOs,110,54,136,300
4LwpGaDKmZ8,97,32,71,200
XM23h-eJ08A,106,10,284,400
cPZ3u1z8kU0,49,4,32,85
UwK-WDjdMxo,53,10,137,200
tVtsp_mASno,182,104,114,400
ZVPTxFZTQis,197,67,336,600
S_DltnHeJ-M,239,27,134,400
0R7MQwmbiQc,146,46,207,399
pU4uLAI48eY,147,31,122,300
ODssdet9XJ4,128,45,127,300
3la8bsi4P-c,115,65,120,300
ebzims_XwpM,130,23,147,300
7Ag2oDIeLvo,0,0,4,4
5jRYB3nGxmc,96,29,73,198
jY9xBAAa5fs,115,65,220,400
qi2uOOAKJjY,215,16,69,300
tp9aQXDFHbY,234,51,115,400
ql0Op1VcELw,225,59,216,500
x5Ps13AeXxQ,217,24,59,300
DdA7tUIzA5Q,377,26,197,600
wGwsgf5CdxU,173,89,38,300
dSdSYmXCPXU,75,22,76,173
QWtGGoHT4H8,2,0,3,5
bvim4rsNHkQ,356,73,270,699
bd7IGZ6dulM,79,50,271,400
L9IDqn-qt98,6,9,196,211
VPo2k2z7Xqg,159,30,111,300
nOQh4NXZ2wo,198,2,200,400
OLTXWUWcwOo,298,40,160,498
uy1FAz6zrQE,90,64,146,300
2VXWgIOPgmw,91,68,141,300
ZT1JsE_YbFs,186,25,289,500
2zISrf-7V3U,294,58,148,500
q3br7KKr67o,172,13,115,300
eVIezLcwc7s,129,24,147,300
yiblDn4JGfQ,139,12,49,200
jKInAMNrXRA,136,38,126,300
9W0WPPpCFaM,37,18,45,100
6IlVWeI_0yo,47,3,44,94
4YX_1wql-Xw,194,104,202,500
9mAcJRFfAL0,186,74,140,400
ZW4jOlyj-sM,221,66,113,400
8vb8E7QTSCU,16,11,27,54
7-z55AKa07U,62,21,117,200
7e4vFMJmBIc,125,82,93,300
Kz-3PgnD1vM,162,36,202,400
ZcsE0kjqvAQ,8,2,11,21
v90yrcg6q9I,219,98,183,500
VcMuDnnaBvw,148,140,212,500
dX72axAvIGc,96,49,155,300
_6Qbslgpw8U,110,58,132,300
dpMFGr-wznc,247,98,155,500
Zy6vBxqlapw,53,7,40,100
L3O6LocRoTo,102,44,54,200
ZaZ_GkB_d34,38,20,58,116
vSDCb3bdFlw,22,28,36,86
D59v74k5flU,153,40,207,400
pe3KSYqPIgo,66,34,100,200
AQa9pEkQ_0Y,313,30,157,500
xch78xg1DVc,21,20,49,90
GuEQtn2nm9A,127,70,103,300
xmhRIEqbKIY,99,62,139,300
65fZOBR0pmM,204,59,237,500
IxI1iOi0t-c,40,13,47,100
WYYvHb03Eog,282,148,370,800
H9KaqCBEvvg,15,6,24,45
RxIh_0q524c,220,26,154,400
SNGWh_-R1VE,119,71,110,300
3sdwibrYkUU,1,0,5,6
3GOjf9ZGnIQ,28,11,31,70
PGfSaVDymjk,28,19,53,100
zuUQDdWNAPc,86,13,101,200
e21VLQGCJTg,176,9,215,400
1u5jO57eD-U,224,89,287,600
SNCeopgkSAU,202,120,276,598
WCYHrvLTaqg,229,27,102,358
PHpMh4E4KKQ,115,14,36,165
v_TJKwJwN0E,49,25,26,100
uBGECC5U09Q,80,100,120,300
HpxsQ1_UAec,0,9,33,42
UO0hIASuAqY,128,79,193,400
uZ8L6qLeC74,146,15,39,200
_SRNenu07Lw,4,3,8,15
zKriLekFPwg,399,46,255,700
ALae1tWyTS8,12,4,13,29
A8QQBRIqZmw,260,152,188,600
AoQMHzkj2x0,56,15,29,100
3iYOBuyS97A,4,4,4,12
U1bpztJkdzk,60,11,129,200
Wp21hAL1mOU,87,37,176,300
zAXn-v9RdXo,5,2,2,9
4xbFVdoRzLQ,102,85,113,300
7Gw-lN270qs,34,14,20,68
oqmSuPJfvJo,217,69,214,500
YaTxVflKDQw,134,124,142,400
c7ymY8QEB2g,131,17,52,200
0Rb2rr1vWpI,58,21,120,199
4WNHB8vROg4,46,24,30,100
kFx0h3YDXz0,93,28,79,200
9y62mZn0LXQ,134,68,297,499
aiXo6WyhCJs,197,69,134,400
qbRKHpE-30Y,47,60,93,200
CEcrgOuBiUM,107,38,55,200
YjS-QrzTJz8,40,4,34,78
i915IbJ5l_I,84,33,83,200
mTnRc4pVu4w,38,12,50,100
gs9AV6BKh74,152,45,203,400
1L7JFN7tQLs,323,132,245,700
Gv69uNr3Tf4,268,55,177,500
DGIZXFa3Zkw,84,41,121,246
UVwLjEK0jio,14,7,18,39
iwGP_FeheLM,91,27,182,300
5kZi3J2S52E,91,24,85,200
LnuUkfwqz3c,18,19,23,60
UApJ0enDJTs,78,5,17,100
-PQBaYuvujw,25,41,34,100
t4or1t4iHK0,211,86,203,500
p1WJ01Ij9AQ,79,30,91,200
nJSrCX1U1hg,111,58,131,300
uHCW6nfbosQ,226,20,154,400
htAqXYmFKgo,215,67,218,500
_HTXMhKWqnA,162,77,161,400
cfSIC8jwbQs,118,43,139,300
9EBgaxFfDA0,111,65,124,300
_NlKTMvnjIc,59,38,103,200
XQVwoImSnds,62,30,29,121
PKv4LdN_JYs,169,190,141,500
AEaKrq3SpW8,128,38,134,300
4v38ugGj3u0,10,6,15,31
WWexI9YiLSc,90,35,175,300
8F_eHiMYQjg,8,0,5,13
ZtXkNMbjOEE,226,29,246,501
qiUKuZQRsWo,86,51,163,300
uA4STm4hx7Q,245,65,190,500
8ZRCdfaAIy0,251,79,170,500
tbDr_zAcM5g,0,0,2,2
ruRvc4huFkE,158,25,217,400
gmXuUgB7T3Y,127,26,47,200
OudFElslbh4,98,11,91,200
5fsEPf_Uuao,139,31,330,500
LTnl36-0-zU,85,35,80,200
2UMfEfUR7wM,158,53,114,325
9zX2BQFZ_BI,39,12,49,100
WAwRqecvMSY,51,50,99,200
gzh6tcMsyoQ,299,33,102,434
B7YaMkCl3XA,122,54,123,299
ZQK1F0wz6z4,283,82,334,699
evvVtqmvE5w,169,81,250,500
6x62O8A8qHw,168,52,180,400
khRWGSllNKw,95,52,153,300
nnTcCS07DKQ,167,160,173,500
hg5yXLhl3CQ,6,0,8,14
XpVt6Z1Gjjo,250,159,391,800
8ropWor8aAM,70,8,22,100
oDIDZ9EmQfA,93,27,180,300
bUUt0v4ziG4,61,90,72,223
gLj21uNEzqA,155,13,132,300
OWRufUWhSwM,69,26,51,146
TPnuT2TLvLQ,108,5,123,236
fBTBc2OA9fw,41,10,49,100
88IdVnUESJw,182,84,134,400
jzr49a04olU,1,0,0,1
jizvSedEDDI,103,21,76,200
unIkqhB2nA0,191,168,241,600
kCKTmL5Hn-M,55,30,115,200
klSWPvDCYoI,82,19,99,200
8ndhidEmUbI,273,214,212,699
fSkTpKa5gbo,139,60,101,300
XvPWUkHjWG0,223,60,217,500
iKzRIweSBLA,342,51,207,600
C-V1uXeyGmg,208,39,153,400
mOrdWbqp85E,196,23,178,397
cxLQAuQsOWI,280,37,283,600
ZcTvrxwP6Is,213,165,120,498
04UjShXZbD0,78,31,91,200
07v6qA2l3n4,137,10,53,200
WoPtuVbaSKQ,81,15,104,200
8rlfu6UX5D0,208,72,220,500
jII6DYV_yPQ,3,0,22,25
GdoNKbGQs9U,91,7,93,191
_StIv9i6as4,154,15,131,300
AYrTkoRr6hk,111,38,55,204
LP4qYyTPyl4,218,51,131,400
KPqtlI3aJIE,223,29,148,400
zPGRU49esCU,113,26,61,200
6L-nhETPAfY,173,46,181,400
jYnoFIgUwqY,137,40,123,300
RIGgn1s3AvI,197,36,167,400
TNhyrPaGFYQ,75,49,276,400
d8U5funnyA8,221,106,273,600
CuXq1hOa8_Y,147,122,231,500
4AsSp0AhlBc,24,14,25,63
-tCu0tKrzhc,55,15,30,100
q9o_VjdugHw,11,8,5,24
ceLV1v3mV4E,110,25,65,200
wIml3h1rHVc,128,72,200,400
zcqZHYo7ONs,358,137,205,700
VSRz1ReNg3Y,18,5,4,27
KEBDxhqhzF0,266,77,157,500
AZTGeQ5msaU,59,17,32,108
BqL9T0_ClUg,191,111,198,500
CGN6QXv7sfs,167,105,227,499
FlwK54Qun3Q,191,0,78,269
o4os5TXo6Vk,263,28,109,400
mrTHfBCduRA,119,76,105,300
MBdVXkSdhwU,116,32,252,400
pRnbzkMsgmM,28,32,40,100
r1f8hd4yh0c,65,21,113,199
E-NxvaVWjBM,15,4,6,25
_GC5AVsf528,98,22,80,200
eHV5gHeVgH0,33,18,28,79
qJJHhVf3_ZM,33,33,34,100
Iq13mG9l6o0,90,80,128,298
l864IBj7cgw,128,87,185,400
bY8-TUD3_Zo,90,82,128,300
09xOyqOO1Eg,93,38,69,200
vd7LCYVH1vc,6,4,2,12
bnON1y-fKag,42,20,38,100
-cjfTG8DbwA,197,101,102,400
iL_-GwbEP4g,171,35,92,298
hNsUtZmWgdg,134,100,210,444
5z3vPi7YhSA,7,9,12,28
DZHAB3PGlfU,195,91,159,445
t2oVUxTV4WA,129,48,123,300
mceaM2_zQd8,101,67,132,300
Xf4IYI9Gj7Y,129,18,53,200
7TVLt0sbBO0,65,6,19,90
eImtYyuQCZ8,89,51,60,200
Q3Rq-irFn1w,159,45,96,300
zV0dpCG-8go,229,112,159,500
40M4DF8aIYs,137,10,53,200
_o8vb1BA_c0,70,15,115,200
RsCsBqIlnHw,338,33,129,500
EVp4-qjWVJE,73,37,90,200
qznElIkZ1hc,117,62,121,300
H4_o4thCQpY,31,20,49,100
XIUGqfTkaWk,227,40,133,400
3TDk34hnSXc,165,63,172,400
x9VBzdkHMBU,176,67,157,400
b0O5JtyNqek,170,17,113,300
Q1eQw4ycgQM,62,14,67,143
TV2HTSV3w40,208,69,223,500
PD7OWHNAUqY,48,25,27,100
REyxoxScrbU,100,21,79,200
eUhGww8WyIo,49,19,32,100
ktl2mLsSq4o,75,27,98,200
PJsJ96yyVk8,237,68,95,400
H3YE_oGD05M,287,34,75,396
PbW14E2eHJ0,202,37,261,500
9YyB6sQ4iwA,114,49,137,300
eRDxDEhEgNY,98,33,69,200
Jc2x5aHCs6g,188,20,92,300
DHYRxML2SpA,70,29,201,300
ON3x2wWZLHk,41,17,42,100
amds5iNvFD4,91,21,88,200
xzPRACH6YwE,42,20,38,100
mUDQvKtkMwE,198,67,134,399
xtpM8cBES3k,101,16,83,200
unByRjDRA34,134,6,60,200
lUFpahcEOX8,174,114,107,395
DyTlOIa6RLo,112,122,166,400
pAsN4lSa7O0,116,24,60,200
CzYM4ZpSDJg,211,128,261,600
_38JDGnr0vA,284,36,180,500
DvbYf4eyGFI,97,20,83,200
-1fzGnFwz9M,53,17,30,100
DUFBEamEF0Q,76,47,77,200
UuOAs0IiEI0,256,76,168,500
8-M7WA1qX1g,138,94,168,400
cviyIIvBlto,4,1,0,5
xffuHHjO_Us,241,19,140,400
VRX84VjIQVw,21,4,9,34
Ie50Nw9NkOk,32,30,38,100
_Eb9kppyRxc,261,71,168,500
UCrBICYM0yM,200,99,201,500
25Qq8k7V83g,14,7,21,42
GDIOfv643TM,88,60,248,396
B9SptdjpJBQ,138,60,202,400
R42GHW6RY20,27,8,30,65
W7DErx-Yg9g,292,11,97,400
K7pQsR8WFSo,94,34,72,200
F5Ma-1A-NS0,146,218,136,500
9QZb-659ZfY,123,4,73,200
q8b5mciIDnA,91,52,76,219
5F_utV45MT0,33,32,35,100
vp_Dbt3FPDs,182,6,112,300
TpwChyyyy4s,58,10,132,200
P00HMxdsVZI,80,22,98,200
FSOxXsYVJMQ,146,26,328,500
UqmxHwLI9yg,263,65,172,500
ekaeJN9Sgu0,128,55,117,300
iIYXR4axaJY,334,67,199,600
R3dQpGJQI18,158,24,118,300
w8fAellnPns,151,115,234,500
t4QwhVt5Zk0,310,75,215,600
TO5cYWd12lQ,228,29,143,400
oePt4JgdyZo,76,44,80,200
bp6uJJJMaLs,103,38,59,200
pyb7UqbdYTs,180,35,184,399
RlduVwzqK2o,266,15,119,400
iV9PEBuPwSU,3,0,3,6
o3_byIkXF7Q,34,16,25,75
SjZWJoNYpHI,121,55,121,297
FBdyMBRcxeo,104,36,260,400
i2kJUYeb1Kw,149,32,219,400
LDXr12ToYuM,251,44,105,400
K5-f1Bnltu8,103,46,151,300
j9giQP9SX-U,190,41,69,300
3x-sUsazQ90,122,20,58,200
8I8G5XQI9_w,133,12,55,200
ICqTZeiimpk,72,43,85,200
GpAuCG6iUcA,38,54,108,200
EgUXkpAyqps,16,0,5,21
LVPIM06bMJo,243,31,126,400
